CONSECUTIVO,ESTABLECIMIENTO,CIUDADMUNICIPIO,DIRECCION,PRODUCTOSELABORADOS,FECHACERTIFICACION
1,PRODUCTOS LACTEOS COLFRANCE CPS EN C,CHIQUINQUIRA,"INSPECCIÓN DE CAPELLANÍA, KM 2 VÍA UBATÉ","ELABORACIÓN DE DERIVADOS DE LA LECHE EN TODAS SUS MANIFESTACIONES, CALIDADES, TAMAÑOS Y FORMULACIONES, ASÍ COMO LA FABRICACIÓN Y EN GENERAL LA COMERCIALIZACIÓN Y MERCADEO DE PRODUCTOS DE CONSUMO MASIVO, TALES COMO PRODUCTOS ALIMENTICIOS.",09/09/2022 12:00:00 AM
2,PRODUCTORA DE CONFITES Y CHICLES MAC DULCES SAS – MAC DULCES SAS,CALI,CALLE 39 No.10 – 50 BARRIO TRONCAL,"FABRICACIÓN DE Y COMERCIALIZACIÓN DE TODA CLASE DE PRODUCTOS ALIMENTICIOS, RESULTANTES DEL PROCESAMIENTO DEL AZÚCAR, HARINA, CACAO, FÉCULA, FRUTAS SIMILARES Y SUSTITUTOS.",11/26/2021 12:00:00 AM
3,ORGANIZACION SOLARTE Y CIA SCA-FÁBRICA DE PASTAS,CALI,AUTOPISTA CALI YUMBO KM 4 - CALLE 15 # 27 - 40  ACOPI –YUMBO- VALLE DEL CAUCA,FABRICACIÓN DE PASTAS,10/13/2021 12:00:00 AM
4,SURTIABARROTES INTERNACIONAL SAS,BARRANQUILLA,CARRERA 43 B No. 6-109,EMPAQUE DE GRANOS Y CEREALES,07/14/2021 12:00:00 AM
5,CORPORACIÓN SALUDPHARMA S. A. S,BOGOTA,AVENIDA CARRERA 30 NO 64A– 73,ALIMENTOS EN POLVO Y SÓLIDOS,04/30/2021 12:00:00 AM
6,FUNTRITION SAS,BOGOTA,AVENIDA BOYACA # 20-92,"GOMAS DE GELATINA ADICIONADAS CON VITAMINA C, GOMAS DE GELATINA CON VITAMINAS Y MINERALES, GOMAS DE GELATINA ADICIONADAS CON OMEGA, GOMAS DE GELATINA ADICIONADAS CON FRUTAS Y VERDURAS, GOMAS DE GELATINA  CON FIBRA SIN AZUCAR GOMAS DE GELATINA ADICIONADAS CON PROBIÓTICOS, GOMAS DE GELATINA ADICIONADAS CON CLÁGENO, GOMAS DE AGAR ADICIONADAS DE Mg, GOMAS DE GELATINA CON Mg, GOMAS DE GELATINA CON Mg Y PROPÓPOLEOS",02/26/2021 12:00:00 AM
7,ANDERCOL INTERNATIONAL SAS,TURBACO,ZONA FRANCA VARIANTE CARTAGENA CALLE 101 No. 2-05 PARQUE CENTRAL LOTE 10 1D,ACIDO FUMÁRICO SOLUBLE EN AGUA CALIENTE O FRÍA Y FUMARATO DE CALCIO,02/19/2021 12:00:00 AM
8,LABORATORIOS NUTRIPHARMA S. A. S.,BOGOTA,AUTOPISTA MEDELLÍN KM 2.5 VEREDA PARCELAS 400 METROS PARQUE INDUSTRIAL PORTOS SABANA 80 PH BODEGAS 14 Y 15,"ALIMENTOS EN POLVO, GRANULADOS Y DULCES DUROS.",01/25/2021 12:00:00 AM
9,NUTRA & FOODS.CO SAS,FLORIDABLANCA,KILOMETRO 4 AUTOPISTA ANILLO VIAL MANZANA C ZONA FRANCA SANTANDER,"GOMAS DE GELATINA, GOMAS DE GELATINA ADICIONADAS CON VITAMINAS Y MINERALES,  GOMAS DE GELATINA ADICINADAS CON FIBRA, ALIMENTOS EN POLVO A BASE DE MALTODEXTRINAS, ALIMENTOS EN POLVO A BASE DE LECHE EN POLVO, ALIMENTOS EN POLVO A BASE DE PROTEINA.",02/07/2020 12:00:00 AM
10,ALMACENES GENERALES DE DEPOSITO DE CAFÉ ALMACAFE S.A,SOACHA,AUTOPISTA SUR KM 14 VIA BOGOTÁ - GIRARDOT,TOSTION Y MOLIENDA DE CAFÉ,08/30/2019 12:00:00 AM
